,Cont. urban fabric,Industrial/commercial units,Construction sites,Agricultural,Non-irrigated arable land,Permanently irrigated land,Rice fields,Pastures,Broad-leaved forest,Transitional woodland-shrub,Sparsely vegetated areas,Inland marshes,Salines,Water bodies,Marine waters,row total,user's accuracy
Cont. urban fabric,1634.0,109.0,52.0,33.0,32.0,226.0,1765.0,40.0,0.0,0.0,0.0,15.0,6.0,37.0,0.0,3949.0,0.41377565
Industrial/commercial units,16.0,4302.0,10.0,106.0,1.0,876.0,1357.0,47.0,0.0,6.0,0.0,143.0,8.0,11.0,29.0,6912.0,0.6223958
Construction sites,45.0,20.0,995.0,14.0,0.0,166.0,1396.0,10.0,0.0,0.0,0.0,9.0,15.0,13.0,0.0,2683.0,0.3708535
Agricultural,0.0,49.0,0.0,62046.0,2.0,76679.0,5100.0,12.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,143894.0,0.4311924
Non-irrigated arable land,0.0,4.0,0.0,13.0,7823.0,1354.0,21114.0,284.0,0.0,0.0,0.0,661.0,6.0,0.0,5.0,31264.0,0.2502239
Permanently irrigated land,0.0,92.0,0.0,11095.0,59.0,82553.0,17323.0,334.0,5.0,32.0,1.0,445.0,7.0,83.0,133.0,112162.0,0.73601574
Rice fields,18.0,16.0,13.0,986.0,28.0,4446.0,515068.0,652.0,0.0,1.0,0.0,307.0,0.0,697.0,0.0,522232.0,0.98628193
Pastures,9.0,12.0,16.0,812.0,490.0,4050.0,7543.0,21906.0,46.0,69.0,0.0,3554.0,540.0,901.0,18.0,39966.0,0.5481159
Broad-leaved forest,0.0,0.0,0.0,0.0,0.0,77.0,39.0,9.0,697.0,4.0,6.0,16.0,59.0,87.0,0.0,994.0,0.7012072
Transitional woodland-shrub,4.0,0.0,6.0,102.0,85.0,1228.0,2958.0,1598.0,35.0,2294.0,4.0,1088.0,425.0,1890.0,0.0,11717.0,0.1957839
Sparsely vegetated areas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,3.0,0.0,20.0,0.8
Inland marshes,8.0,171.0,12.0,413.0,203.0,5396.0,5055.0,1175.0,12.0,20.0,0.0,53277.0,258.0,118.0,166.0,66284.0,0.80376863
Salines,0.0,0.0,0.0,45.0,0.0,398.0,460.0,264.0,8.0,7.0,0.0,232.0,5345.0,758.0,0.0,7517.0,0.7110549
Water bodies,4.0,0.0,0.0,166.0,47.0,1915.0,2319.0,769.0,38.0,65.0,2.0,1023.0,3195.0,24653.0,0.0,34196.0,0.72093225
Marine waters,0.0,0.0,0.0,10.0,0.0,79.0,620.0,0.0,0.0,0.0,0.0,639.0,0.0,0.0,4250.0,5598.0,0.75919974
column total,1738.0,4775.0,1104.0,75841.0,8770.0,179443.0,582117.0,27100.0,842.0,2500.0,29.0,61413.0,9864.0,29251.0,4601.0,0.0,0.0
producer's accuracy,0.9401611,0.9009424,0.9012681,0.8181063,0.89201826,0.4600514,0.8848187,0.8083395,0.827791,0.9176,0.55172414,0.8675199,0.5418694,0.8428088,0.92371225,0.0,0.7952987
