,Cont. urban fabric,Industrial/commercial units,Construction sites,Agricultural,Non-irrigated arable land,Permanently irrigated land,Rice fields,Pastures,Broad-leaved forest,Transitional woodland-shrub,Sparsely vegetated areas,Inland marshes,Salines,Water bodies,Marine waters,row total,user's accuracy
Cont. urban fabric,1631.0,84.0,65.0,11.0,0.0,111.0,855.0,20.0,0.0,6.0,0.0,20.0,0.0,25.0,0.0,2828.0,0.5767327
Industrial/commercial units,19.0,4263.0,7.0,64.0,9.0,502.0,1223.0,22.0,0.0,0.0,0.0,34.0,5.0,6.0,14.0,6168.0,0.69114786
Construction sites,31.0,34.0,983.0,20.0,4.0,175.0,677.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1924.0,0.51091474
Agricultural,0.0,73.0,1.0,61212.0,16.0,85623.0,8729.0,161.0,3.0,10.0,0.0,141.0,11.0,75.0,24.0,156079.0,0.39218602
Non-irrigated arable land,4.0,46.0,10.0,349.0,7382.0,5024.0,14863.0,303.0,0.0,0.0,0.0,2968.0,32.0,14.0,45.0,31040.0,0.23782216
Permanently irrigated land,15.0,60.0,1.0,7541.0,132.0,60187.0,21187.0,355.0,1.0,4.0,0.0,644.0,55.0,139.0,55.0,90376.0,0.6659622
Rice fields,18.0,10.0,10.0,3282.0,36.0,9723.0,495703.0,859.0,4.0,20.0,0.0,969.0,119.0,1279.0,0.0,512032.0,0.9681094
Pastures,14.0,65.0,15.0,1816.0,590.0,8464.0,19115.0,22320.0,65.0,126.0,1.0,4282.0,973.0,1780.0,6.0,59632.0,0.37429568
Broad-leaved forest,0.0,0.0,0.0,0.0,8.0,47.0,51.0,45.0,690.0,0.0,6.0,18.0,0.0,74.0,0.0,939.0,0.7348243
Transitional woodland-shrub,1.0,0.0,7.0,397.0,74.0,1952.0,6474.0,1038.0,26.0,2224.0,4.0,513.0,180.0,1204.0,0.0,14094.0,0.15779765
Sparsely vegetated areas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,3.0,0.0,20.0,0.8
Inland marshes,4.0,135.0,5.0,577.0,426.0,5540.0,7178.0,855.0,0.0,11.0,0.0,50250.0,235.0,33.0,231.0,65480.0,0.7674099
Salines,0.0,0.0,0.0,73.0,14.0,264.0,1231.0,178.0,3.0,21.0,0.0,209.0,5083.0,1905.0,18.0,8999.0,0.56484056
Water bodies,1.0,0.0,0.0,145.0,46.0,1056.0,2927.0,775.0,33.0,76.0,0.0,477.0,3113.0,22495.0,18.0,31162.0,0.7218728
Marine waters,0.0,5.0,0.0,354.0,33.0,775.0,1904.0,169.0,16.0,2.0,2.0,888.0,58.0,219.0,4190.0,8615.0,0.486361
column total,1738.0,4775.0,1104.0,75841.0,8770.0,179443.0,582117.0,27100.0,842.0,2500.0,29.0,61413.0,9864.0,29251.0,4601.0,0.0,0.0
producer's accuracy,0.93843496,0.8927749,0.89039856,0.8071096,0.84173316,0.33541012,0.8515522,0.8236162,0.81947744,0.8896,0.55172414,0.8182307,0.5153082,0.76903355,0.9106716,0.0,0.7465514
