,Cont. urban fabric,Industrial/commercial units,Construction sites,Agricultural,Non-irrigated arable land,Permanently irrigated land,Rice fields,Pastures,Broad-leaved forest,Transitional woodland-shrub,Sparsely vegetated areas,Inland marshes,Salines,Water bodies,Marine waters,row total,user's accuracy
Cont. urban fabric,1621.0,106.0,54.0,40.0,36.0,421.0,1784.0,26.0,0.0,0.0,0.0,42.0,10.0,34.0,0.0,4174.0,0.3883565
Industrial/commercial units,18.0,4317.0,5.0,199.0,4.0,1018.0,1439.0,79.0,0.0,0.0,0.0,278.0,37.0,27.0,42.0,7463.0,0.5784537
Construction sites,46.0,32.0,997.0,45.0,0.0,170.0,1232.0,20.0,0.0,6.0,0.0,8.0,11.0,7.0,8.0,2582.0,0.38613477
Agricultural,0.0,33.0,0.0,59695.0,4.0,72770.0,5252.0,45.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,137811.0,0.4331657
Non-irrigated arable land,0.0,4.0,0.0,48.0,7757.0,2284.0,21695.0,278.0,0.0,0.0,0.0,813.0,6.0,0.0,5.0,32890.0,0.23584676
Permanently irrigated land,10.0,85.0,1.0,12913.0,87.0,83575.0,16882.0,256.0,4.0,26.0,0.0,434.0,0.0,38.0,95.0,114406.0,0.7305124
Rice fields,15.0,28.0,19.0,1385.0,17.0,5492.0,513950.0,752.0,0.0,10.0,0.0,463.0,0.0,735.0,0.0,522866.0,0.9829478
Pastures,15.0,12.0,11.0,796.0,484.0,4182.0,7578.0,21734.0,53.0,77.0,1.0,3512.0,593.0,888.0,18.0,39954.0,0.5439756
Broad-leaved forest,0.0,0.0,0.0,0.0,0.0,76.0,71.0,109.0,697.0,4.0,8.0,58.0,69.0,171.0,0.0,1263.0,0.55186063
Transitional woodland-shrub,8.0,0.0,3.0,94.0,77.0,1252.0,2983.0,1664.0,27.0,2279.0,2.0,952.0,356.0,1893.0,0.0,11590.0,0.19663502
Sparsely vegetated areas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,3.0,0.0,20.0,0.8
Inland marshes,5.0,151.0,12.0,343.0,229.0,5704.0,5313.0,1184.0,9.0,16.0,0.0,52843.0,235.0,89.0,202.0,66335.0,0.79660815
Salines,0.0,0.0,2.0,20.0,9.0,498.0,602.0,222.0,10.0,8.0,0.0,459.0,5442.0,1344.0,0.0,8616.0,0.6316156
Water bodies,0.0,0.0,0.0,186.0,56.0,1780.0,2352.0,723.0,41.0,73.0,2.0,956.0,3105.0,24014.0,0.0,33288.0,0.7214011
Marine waters,0.0,7.0,0.0,77.0,10.0,221.0,984.0,8.0,0.0,0.0,0.0,584.0,0.0,8.0,4231.0,6130.0,0.6902121
column total,1738.0,4775.0,1104.0,75841.0,8770.0,179443.0,582117.0,27100.0,842.0,2500.0,29.0,61413.0,9864.0,29251.0,4601.0,0.0,0.0
producer's accuracy,0.93268126,0.9040838,0.9030797,0.7871072,0.8844926,0.4657468,0.8828981,0.8019926,0.827791,0.9116,0.55172414,0.860453,0.55170316,0.8209634,0.9195827,0.0,0.7915681
