,Cont. urban fabric,Industrial/commercial units,Construction sites,Agricultural,Non-irrigated arable land,Permanently irrigated land,Rice fields,Pastures,Broad-leaved forest,Transitional woodland-shrub,Sparsely vegetated areas,Inland marshes,Salines,Water bodies,Marine waters,row total,user's accuracy
Cont. urban fabric,1632.0,95.0,66.0,23.0,0.0,127.0,908.0,30.0,0.0,6.0,0.0,0.0,0.0,25.0,0.0,2912.0,0.5604396
Industrial/commercial units,10.0,4289.0,0.0,56.0,20.0,529.0,968.0,10.0,0.0,0.0,0.0,40.0,15.0,3.0,8.0,5948.0,0.7210827
Construction sites,51.0,43.0,998.0,21.0,9.0,143.0,934.0,0.0,0.0,0.0,0.0,9.0,11.0,17.0,0.0,2236.0,0.44633272
Agricultural,0.0,63.0,0.0,63867.0,7.0,83780.0,5308.0,38.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,153071.0,0.41723776
Non-irrigated arable land,0.0,9.0,0.0,16.0,7802.0,913.0,20442.0,231.0,0.0,0.0,0.0,674.0,6.0,0.0,5.0,30098.0,0.25921988
Permanently irrigated land,4.0,80.0,4.0,9042.0,66.0,75300.0,16856.0,303.0,5.0,25.0,1.0,399.0,15.0,62.0,132.0,102294.0,0.73611355
Rice fields,19.0,13.0,8.0,1259.0,19.0,4952.0,516758.0,653.0,0.0,1.0,0.0,274.0,0.0,769.0,0.0,524725.0,0.9848168
Pastures,7.0,28.0,17.0,881.0,558.0,4680.0,8416.0,22640.0,60.0,87.0,0.0,3486.0,769.0,1056.0,18.0,42703.0,0.53017354
Broad-leaved forest,0.0,0.0,0.0,0.0,0.0,43.0,16.0,6.0,697.0,4.0,6.0,0.0,31.0,56.0,0.0,859.0,0.81140864
Transitional woodland-shrub,4.0,0.0,4.0,133.0,76.0,1528.0,3193.0,1488.0,37.0,2289.0,4.0,996.0,388.0,1838.0,0.0,11978.0,0.19110034
Sparsely vegetated areas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,3.0,0.0,20.0,0.8
Inland marshes,7.0,155.0,7.0,328.0,167.0,5348.0,4815.0,851.0,1.0,11.0,0.0,53627.0,249.0,59.0,183.0,65808.0,0.81490093
Salines,0.0,0.0,0.0,37.0,4.0,252.0,331.0,84.0,5.0,0.0,0.0,267.0,5078.0,643.0,0.0,6701.0,0.75779736
Water bodies,4.0,0.0,0.0,168.0,41.0,1778.0,2115.0,748.0,36.0,74.0,2.0,962.0,3302.0,24711.0,0.0,33941.0,0.7280575
Marine waters,0.0,0.0,0.0,10.0,1.0,70.0,1057.0,18.0,0.0,0.0,0.0,674.0,0.0,9.0,4255.0,6094.0,0.69822776
column total,1738.0,4775.0,1104.0,75841.0,8770.0,179443.0,582117.0,27100.0,842.0,2500.0,29.0,61413.0,9864.0,29251.0,4601.0,0.0,0.0
producer's accuracy,0.9390104,0.8982199,0.9039855,0.8421171,0.8896237,0.41963187,0.8877219,0.83542436,0.827791,0.9156,0.55172414,0.873219,0.5148013,0.84479165,0.92479897,0.0,0.7923676
